run_position,role,problem_id,discovery_stream_order,resolved_non_tie,good_C,good_C_rate,sum_delta_J_good_C,good_C_utility_mass,sum_delta_J_all
1,adaptation,308,2,6,1,0.16666666666666666,-12.8254593086562,12.8254593086562,28.22278802868511
2,adaptation,315,3,4,1,0.25,-7.491636664606631,7.491636664606631,3.460614769719541
3,adaptation,332,5,4,1,0.25,-13.66160338421663,13.66160338421663,7.696712310683155
4,adaptation,348,6,3,2,0.6666666666666666,-6.160845825448632,6.160845825448632,0.5696181561797857
5,adaptation,396,11,3,1,0.3333333333333333,-39.32455667480826,39.32455667480826,-30.073112692683928
6,adaptation,413,14,2,2,1.0,-3.9332009942891695,3.9332009942891695,-3.9332009942891695
7,adaptation,441,18,2,1,0.5,-26.983408498577774,26.983408498577774,-24.72757916431874
8,adaptation,457,20,2,1,0.5,-34.594361221417785,34.594361221417785,-30.32383458555809
9,adaptation,459,21,6,2,0.3333333333333333,-102.2046277310167,102.2046277310167,-81.27139394538742
10,adaptation,139,26,2,1,0.5,-25.84462020235757,25.84462020235757,-22.37745210962991
11,evaluation,442,40,2,1,0.5,-7.718351731201011,7.718351731201011,-0.9861439560850442
12,evaluation,355,44,6,1,0.16666666666666666,-2.6779746569338307,2.6779746569338307,62.86117391126851
13,evaluation,217,49,6,2,0.3333333333333333,-33.22314494475722,33.22314494475722,5.658540789037945
14,evaluation,126,52,5,1,0.2,-3.758094020187855,3.758094020187855,43.895078790684536
15,evaluation,431,55,4,1,0.25,-66.28041037321091,66.28041037321091,-49.63309804995855
16,evaluation,51,57,6,3,0.5,-77.28295124430832,77.28295124430832,-4.950166021939381
17,evaluation,366,59,2,1,0.5,-6.000696173736028,6.000696173736028,-3.7580188030288344
18,evaluation,474,63,2,1,0.5,-32.20787642989308,32.20787642989308,-24.671092257834978
19,evaluation,491,64,4,1,0.25,-10.08103073822955,10.08103073822955,13.031951058035101
20,evaluation,238,67,6,1,0.16666666666666666,-23.490732988342643,23.490732988342643,7.215662081415452
21,evaluation,208,70,2,1,0.5,-14.653980076809727,14.653980076809727,-0.5117719774444929
22,evaluation,221,71,5,2,0.4,-10.088454197471343,10.088454197471343,25.009933981671928
23,evaluation,100,73,3,1,0.3333333333333333,-5.113531759008765,5.113531759008765,23.19683582521975
24,evaluation,300,74,2,2,1.0,-8.859337899168686,8.859337899168686,-8.859337899168686
25,evaluation,114,80,3,1,0.3333333333333333,-71.43660493055359,71.43660493055359,-62.24673314252868
26,evaluation,26,81,6,2,0.3333333333333333,-2.7048444983238973,2.7048444983238973,24.801944661450882
27,evaluation,470,84,3,1,0.3333333333333333,-30.005299603566527,30.005299603566527,-0.284020459279418
28,evaluation,283,85,5,1,0.2,-5.992681569419801,5.992681569419801,23.589014623003692
29,evaluation,483,87,5,1,0.2,-12.782367786126478,12.782367786126478,13.270505626641572
30,evaluation,454,93,3,1,0.3333333333333333,-111.03588636312634,111.03588636312634,-102.30210240278393
